horizon,fold,config,model,n_test,mae,rmse,dir_acc
3,3,D_TwinEnhanced,lgbm,874,0.079596476772041,0.11622607985073108,0.7070938215102975
3,3,D_TwinEnhanced,xgboost,874,0.07075497508049011,0.10834730416536331,0.7093821510297483
3,3,D_TwinEnhanced,ensemble_lgbm_ridge_prior,874,0.07027099199875274,0.10771498650965718,0.7402745995423341
3,3,D_TwinEnhanced,twin_enhanced_ensemble,874,0.07020176854645455,0.1081347641028465,0.7345537757437071
3,4,D_TwinEnhanced,naive_persistence,866,0.06369350850582123,0.10016614943742752,0.8325635103926097
3,4,D_TwinEnhanced,ar1_honest,866,0.06369350850582123,0.10016614943742752,0.8325635103926097
3,4,D_TwinEnhanced,ridge,866,0.0917687863111496,0.1250287890434265,0.7159353348729792
3,4,D_TwinEnhanced,lgbm,866,0.0744140872373836,0.10497417748431259,0.8314087759815243
3,4,D_TwinEnhanced,xgboost,866,0.06495416909456253,0.09442315995693207,0.825635103926097
3,4,D_TwinEnhanced,ensemble_lgbm_ridge_prior,866,0.0656956691629798,0.09217408804138484,0.8267898383371824
3,4,D_TwinEnhanced,twin_enhanced_ensemble,866,0.06536216245826497,0.09306042158454259,0.8279445727482679
5,0,A_EconOnly,naive_persistence,213,0.03256968408823013,0.06322963535785675,0.892018779342723
5,0,A_EconOnly,ar1_honest,213,0.03256968408823013,0.06322963535785675,0.892018779342723
5,0,A_EconOnly,ridge,213,0.10789643973112106,0.18797549605369568,0.6384976525821596
5,0,A_EconOnly,lgbm,213,0.08538298834811428,0.16830721960221637,0.7136150234741784
5,0,A_EconOnly,xgboost,213,0.06258856505155563,0.15005484223365784,0.8169014084507042
5,0,A_EconOnly,ensemble_lgbm_ridge_prior,213,0.06507230601372425,0.13211375377397575,0.7934272300469484
5,1,A_EconOnly,naive_persistence,869,0.09180232137441635,0.14344161748886108,0.7652474108170311
5,1,A_EconOnly,ar1_honest,869,0.09180232137441635,0.14344161748886108,0.7652474108170311
5,1,A_EconOnly,ridge,869,0.11751995980739594,0.17142018675804138,0.6329113924050633
5,1,A_EconOnly,lgbm,869,0.11103270769199287,0.1672276073848857,0.6409666283084005
5,1,A_EconOnly,xgboost,869,0.1009991466999054,0.15397125482559204,0.6777905638665133
5,1,A_EconOnly,ensemble_lgbm_ridge_prior,869,0.09304229918908057,0.14423265238032884,0.6962025316455697
5,2,A_EconOnly,naive_persistence,876,0.07406183332204819,0.12574374675750732,0.843607305936073
5,2,A_EconOnly,ar1_honest,876,0.07406183332204819,0.12574374675750732,0.843607305936073
